"Statistic Label","Census Year","County and City","Detailed Marital Status","Age Group","Sex","UNIT","VALUE"
"Unemployment Rate","2011","State","All marital status","All ages","Both sexes","Rate","19"
"Unemployment Rate","2011","Carlow","All marital status","All ages","Both sexes","Rate","23.3"
"Unemployment Rate","2011","Dublin City","All marital status","All ages","Both sexes","Rate","18.5"
"Unemployment Rate","2011","Dún Laoghaire-Rathdown","All marital status","All ages","Both sexes","Rate","11.2"
"Unemployment Rate","2011","Fingal","All marital status","All ages","Both sexes","Rate","16"
"Unemployment Rate","2011","South Dublin","All marital status","All ages","Both sexes","Rate","19.6"
"Unemployment Rate","2011","Kildare","All marital status","All ages","Both sexes","Rate","17.9"
"Unemployment Rate","2011","Kilkenny","All marital status","All ages","Both sexes","Rate","19.4"
"Unemployment Rate","2011","Laois","All marital status","All ages","Both sexes","Rate","21.4"
"Unemployment Rate","2011","Longford","All marital status","All ages","Both sexes","Rate","24.7"
"Unemployment Rate","2011","Louth","All marital status","All ages","Both sexes","Rate","23.8"
"Unemployment Rate","2011","Meath","All marital status","All ages","Both sexes","Rate","18"
"Unemployment Rate","2011","Offaly","All marital status","All ages","Both sexes","Rate","23.2"
"Unemployment Rate","2011","Westmeath","All marital status","All ages","Both sexes","Rate","21.1"
"Unemployment Rate","2011","Wexford","All marital status","All ages","Both sexes","Rate","24"
"Unemployment Rate","2011","Wicklow","All marital status","All ages","Both sexes","Rate","19.3"
"Unemployment Rate","2011","Clare","All marital status","All ages","Both sexes","Rate","18.8"
"Unemployment Rate","2011","Cork City and Cork County","All marital status","All ages","Both sexes","Rate","16.5"
"Unemployment Rate","2011","Kerry","All marital status","All ages","Both sexes","Rate","19.5"
"Unemployment Rate","2011","Limerick City and County","All marital status","All ages","Both sexes","Rate","20.7"
"Unemployment Rate","2011","Tipperary","All marital status","All ages","Both sexes","Rate","19.9"
"Unemployment Rate","2011","Waterford City and County","All marital status","All ages","Both sexes","Rate","21.6"
"Unemployment Rate","2011","Galway City","All marital status","All ages","Both sexes","Rate","18.6"
"Unemployment Rate","2011","Galway County","All marital status","All ages","Both sexes","Rate","18.1"
"Unemployment Rate","2011","Leitrim","All marital status","All ages","Both sexes","Rate","20.3"
"Unemployment Rate","2011","Mayo","All marital status","All ages","Both sexes","Rate","19.5"
"Unemployment Rate","2011","Roscommon","All marital status","All ages","Both sexes","Rate","19.4"
"Unemployment Rate","2011","Sligo","All marital status","All ages","Both sexes","Rate","18.1"
"Unemployment Rate","2011","Cavan","All marital status","All ages","Both sexes","Rate","21.2"
"Unemployment Rate","2011","Donegal","All marital status","All ages","Both sexes","Rate","26.2"
"Unemployment Rate","2011","Monaghan","All marital status","All ages","Both sexes","Rate","20.6"
"Unemployment Rate","2016","State","All marital status","All ages","Both sexes","Rate","12.9"
"Unemployment Rate","2016","Carlow","All marital status","All ages","Both sexes","Rate","17"
"Unemployment Rate","2016","Dublin City","All marital status","All ages","Both sexes","Rate","12.9"
"Unemployment Rate","2016","Dún Laoghaire-Rathdown","All marital status","All ages","Both sexes","Rate","7.4"
"Unemployment Rate","2016","Fingal","All marital status","All ages","Both sexes","Rate","10.3"
"Unemployment Rate","2016","South Dublin","All marital status","All ages","Both sexes","Rate","13.3"
"Unemployment Rate","2016","Kildare","All marital status","All ages","Both sexes","Rate","11.4"
"Unemployment Rate","2016","Kilkenny","All marital status","All ages","Both sexes","Rate","12.7"
"Unemployment Rate","2016","Laois","All marital status","All ages","Both sexes","Rate","15.3"
"Unemployment Rate","2016","Longford","All marital status","All ages","Both sexes","Rate","19.6"
"Unemployment Rate","2016","Louth","All marital status","All ages","Both sexes","Rate","16.7"
"Unemployment Rate","2016","Meath","All marital status","All ages","Both sexes","Rate","11.2"
"Unemployment Rate","2016","Offaly","All marital status","All ages","Both sexes","Rate","15.9"
"Unemployment Rate","2016","Westmeath","All marital status","All ages","Both sexes","Rate","15.9"
"Unemployment Rate","2016","Wexford","All marital status","All ages","Both sexes","Rate","16.6"
"Unemployment Rate","2016","Wicklow","All marital status","All ages","Both sexes","Rate","12.7"
"Unemployment Rate","2016","Clare","All marital status","All ages","Both sexes","Rate","12.4"
"Unemployment Rate","2016","Cork City and Cork County","All marital status","All ages","Both sexes","Rate","10.6"
"Unemployment Rate","2016","Kerry","All marital status","All ages","Both sexes","Rate","12.4"
"Unemployment Rate","2016","Limerick City and County","All marital status","All ages","Both sexes","Rate","14.4"
"Unemployment Rate","2016","Tipperary","All marital status","All ages","Both sexes","Rate","14.6"
"Unemployment Rate","2016","Waterford City and County","All marital status","All ages","Both sexes","Rate","15.4"
"Unemployment Rate","2016","Galway City","All marital status","All ages","Both sexes","Rate","12.9"
"Unemployment Rate","2016","Galway County","All marital status","All ages","Both sexes","Rate","11.7"
"Unemployment Rate","2016","Leitrim","All marital status","All ages","Both sexes","Rate","14.5"
"Unemployment Rate","2016","Mayo","All marital status","All ages","Both sexes","Rate","14.3"
"Unemployment Rate","2016","Roscommon","All marital status","All ages","Both sexes","Rate","13"
"Unemployment Rate","2016","Sligo","All marital status","All ages","Both sexes","Rate","14"
"Unemployment Rate","2016","Cavan","All marital status","All ages","Both sexes","Rate","15.1"
"Unemployment Rate","2016","Donegal","All marital status","All ages","Both sexes","Rate","18"
"Unemployment Rate","2016","Monaghan","All marital status","All ages","Both sexes","Rate","13"
"Unemployment Rate","2022","State","All marital status","All ages","Both sexes","Rate","8.3"
"Unemployment Rate","2022","Carlow","All marital status","All ages","Both sexes","Rate","9.5"
"Unemployment Rate","2022","Dublin City","All marital status","All ages","Both sexes","Rate","8.9"
"Unemployment Rate","2022","Dún Laoghaire-Rathdown","All marital status","All ages","Both sexes","Rate","6.2"
"Unemployment Rate","2022","Fingal","All marital status","All ages","Both sexes","Rate","7.8"
"Unemployment Rate","2022","South Dublin","All marital status","All ages","Both sexes","Rate","8.7"
"Unemployment Rate","2022","Kildare","All marital status","All ages","Both sexes","Rate","7.3"
"Unemployment Rate","2022","Kilkenny","All marital status","All ages","Both sexes","Rate","8"
"Unemployment Rate","2022","Laois","All marital status","All ages","Both sexes","Rate","8.9"
"Unemployment Rate","2022","Longford","All marital status","All ages","Both sexes","Rate","10.7"
"Unemployment Rate","2022","Louth","All marital status","All ages","Both sexes","Rate","10.9"
"Unemployment Rate","2022","Meath","All marital status","All ages","Both sexes","Rate","7.4"
"Unemployment Rate","2022","Offaly","All marital status","All ages","Both sexes","Rate","9.4"
"Unemployment Rate","2022","Westmeath","All marital status","All ages","Both sexes","Rate","9.5"
"Unemployment Rate","2022","Wexford","All marital status","All ages","Both sexes","Rate","9.8"
"Unemployment Rate","2022","Wicklow","All marital status","All ages","Both sexes","Rate","8.3"
"Unemployment Rate","2022","Clare","All marital status","All ages","Both sexes","Rate","8.1"
"Unemployment Rate","2022","Cork City and Cork County","All marital status","All ages","Both sexes","Rate","6.8"
"Unemployment Rate","2022","Kerry","All marital status","All ages","Both sexes","Rate","9"
"Unemployment Rate","2022","Limerick City and County","All marital status","All ages","Both sexes","Rate","8.6"
"Unemployment Rate","2022","Tipperary","All marital status","All ages","Both sexes","Rate","7.7"
"Unemployment Rate","2022","Waterford City and County","All marital status","All ages","Both sexes","Rate","9.2"
"Unemployment Rate","2022","Galway City","All marital status","All ages","Both sexes","Rate","9.3"
"Unemployment Rate","2022","Galway County","All marital status","All ages","Both sexes","Rate","7.2"
"Unemployment Rate","2022","Leitrim","All marital status","All ages","Both sexes","Rate","9.3"
"Unemployment Rate","2022","Mayo","All marital status","All ages","Both sexes","Rate","8.9"
"Unemployment Rate","2022","Roscommon","All marital status","All ages","Both sexes","Rate","8.4"
"Unemployment Rate","2022","Sligo","All marital status","All ages","Both sexes","Rate","8.4"
"Unemployment Rate","2022","Cavan","All marital status","All ages","Both sexes","Rate","9.3"
"Unemployment Rate","2022","Donegal","All marital status","All ages","Both sexes","Rate","10.6"
"Unemployment Rate","2022","Monaghan","All marital status","All ages","Both sexes","Rate","8.2"
